topic_id	topic_words	topic_weight	year
20	kello wiipuri joensuu viipuri kaupunki sunnuntai lappeenranta talo lello aamu	0.020061499313825	1857
21	nisu korkea kaura hinta puoliso tnlla kostaa lysyä alfred jalkine	0.000121124031008	1857
22	kirkkoherra kappalainen virka pappi seurakunta apulainen määrätä turku toimittaa mirka	0.021302128986689	1857
23	jumala elää lapsi ihminen sana herra sydän pyhä rakkaus sanoa	0.061035584754783	1857
24	koulu opettaja virka palkka opettajatar opisto hakea julistaa aine kesäkuu	0.013811043317223	1857
25	orioka litra jofa meijeri roielä muta port foto fefä korea	0.003702197848701	1857
26	hallitus englanti keisari venäjä ranska sota saksa sanoa ulkomaa ministeri	0.035398273388488	1857
27	tampere maria työm neiti rouva teht karl anna johan tytär	0.004892692985704	1857
28	tuore naula maito leiw liha kaura kilo suolata ohra heinä	0.052694576392315	1857
29	talo helmikuu maaliskuu katu huone tammikuu marrella ilmoitus omistaja puoti	0.008203463627411	1857
30	rupla rupl kopeekka ulkomaa armo lähettää vuonna tamara maaviljelys tilata	0.017288422353835	1857
31	hinta päivä talo halpa hyvä helsinki haluta toimittaa ostaa varasto	0.00669031706625	1857
32	sanoa mies tuli silmä tahtoa käsi pitää herra poika äiti	0.071009732852457	1857
33	suomi kieli ruotsi sana ruotsalainen sanoa kirjoitus yliopisto lukea kirjoittaa	0.038977181358124	1857
34	sanoma kolera viikko tidning lehtiä ruotsa sanoa helsingfors kahdesti aivan	0.012632752421997	1857
35	markka oppilas kansakoulu hinta kertoa ilmestyä koulu kaupunki kirja teos	0.017135336905816	1857
36	mies ampua venäläinen sota joukko tuli vihollinen sotamies turkkilainen upseeri	0.039070344352205	1857
37	pitäjä kylässä kappeli tila pitäjäs kihlakunta lääni tuomiokunta mainita sato	0.02371608625158	1857
38	turku pori kello talo ilmoittaa rauma hinta kaupunki turunen huutokauppa	0.014340706843401	1857
39	pitää voida kysymys lehti tahtoa mies tärkeä lausua elää puolue	0.018338476987239	1857
40	kokous suomi seura pitää vuosi kunta johtokunta senaatti yhdistys lääni	0.00331511203742	1857
41	lehti ilmoitus penni vuosi konttori maksaa toimitus hinta tilata toimittaja	0.018578243510041	1857
42	siemen itää halla kongressi mänty kylvää kuusi tuuma laiho panna	0.003964327419996	1857
43	matti anna maria antti mies todistaja jaakko poika tytär raha	0.018794637920244	1857
44	muosi moida manen seurata sanoa pitää kaupunki kunta aima mies	0.033887604957477	1857
45	pitää voida vuosi hyvä sanoa päivä hyvin tarvita toivoa aivan	0.059184726431654	1857
46	oulu lähteä matka mesi ranta kulkea meri kesä tuli kaupunki	0.048703844688049	1857
47	palkinto taloll tamma kilpaajo hevonen juosta ruskea musta rata herra	0.002702230545617	1857
48	tuomio tuomita kokemäki yhteisesti koski niittu suusta virta nuotta vuonna	0.001660804876648	1857
49	helsinki posti lähteä sunnuntai päivä tiistai juna pietari maanantai konttori	0.007309825556111	1857
50	lilo tiistaisin perjantaisin postilaitos munkki 10—11 sunnuntaisin punainen risti lauvantaa	0.000922037023054	1857
1	lintu käärme metalli pesä oksa kääntää pussi tina pakana kirkas	0.00280527510713	1858
2	kuningas eläin tuuli luokka lehmä tyyni herttua voida sonni sade	0.010136457157952	1858
3	kirkko pastori saarna past saarnata ruotsalainen sunnuntai seurakunta pitää iltasaarna	0.008371657605365	1858
4	unkari kreivi unkarilainen varsinainen opett kansallisuus kieli rakennus virta sena	0.004201069915657	1858
5	lukea pitää selä lautta mies tuoda taka muta lehti toimi	0.025019388665598	1858
6	suomi määrätä keisarillinen pitää markka majesteetti asetus mainita helsinki senaatti	0.022932085358145	1858
7	kuopio lääni tapio savo rautalampi karttula oulu suonenjoki dahlström herra	0.015301248311366	1858
8	vuosi päivä markka kaupunki sanoa maksaa pitäjä tynnyri mainita suomi	0.031031549095201	1858
9	till tili kello kaupunki samt tieto talo päivä penni oulu	0.004243054116579	1858
10	mikkeli rantasalmi kangasniemi joroinen myymälä aleksanterinkatu joutsa kerimäki puumala mikkelinen	0.00835127994326	1858
11	sääty mietintö ehdotus esitys valiokunta kysymys puhuja pitää ehdottaa anomus	0.00729445572454	1858
12	palaa tulipalo tuli poro lokak lapsi syttyä susi polttaa rakennus	0.01198431262661	1858
13	ilmoittaa päivä pitäjä marraskuu huutokauppa pesä oikeus mainita kylässä kello	0.011303687156745	1858
14	hämeenlinna helsinki seteli vainaa marrask entää tampere häme marrast mina	0.01282116583116	1858
15	pitää seura lääni kokous mainita ilmoittaa määrätä suomi helsinki toimi	0.051151650886137	1858
16	vuosi kaupunki joulukuu tammikuu markka henki joulu suomi kuollut yhtiö	0.022114650291255	1858
17	talollinen juho kauppias torppari kaarle kustaa matti wilhelm heikki juhana	0.004259240541342	1858
18	pitää raha metsä maksaa tukea ihminen sanoa talo panna pelto	0.07384236246759	1858
19	lappi lappalainen norja norjalainen virkamies sikäläinen pappi hakea posti kartoittaa	0.002440853600213	1858
20	kello wiipuri joensuu viipuri kaupunki sunnuntai lappeenranta talo lello aamu	0.018856205806514	1858
21	nisu korkea kaura hinta puoliso tnlla kostaa lysyä alfred jalkine	0.000970649642656	1858
22	kirkkoherra kappalainen virka pappi seurakunta apulainen määrätä turku toimittaa mirka	0.024855552495387	1858
23	jumala elää lapsi ihminen sana herra sydän pyhä rakkaus sanoa	0.05376366259336	1858
24	koulu opettaja virka palkka opettajatar opisto hakea julistaa aine kesäkuu	0.01422741376491	1858
25	orioka litra jofa meijeri roielä muta port foto fefä korea	0.004141971247789	1858
26	hallitus englanti keisari venäjä ranska sota saksa sanoa ulkomaa ministeri	0.034280819191627	1858
27	tampere maria työm neiti rouva teht karl anna johan tytär	0.00541360468996	1858
28	tuore naula maito leiw liha kaura kilo suolata ohra heinä	0.050127686974067	1858
29	talo helmikuu maaliskuu katu huone tammikuu marrella ilmoitus omistaja puoti	0.00736286602122	1858
30	rupla rupl kopeekka ulkomaa armo lähettää vuonna tamara maaviljelys tilata	0.019232422259613	1858
31	hinta päivä talo halpa hyvä helsinki haluta toimittaa ostaa varasto	0.006390449384076	1858
32	sanoa mies tuli silmä tahtoa käsi pitää herra poika äiti	0.06665547262893	1858
33	suomi kieli ruotsi sana ruotsalainen sanoa kirjoitus yliopisto lukea kirjoittaa	0.041561174785283	1858
34	sanoma kolera viikko tidning lehtiä ruotsa sanoa helsingfors kahdesti aivan	0.013024061379879	1858
35	markka oppilas kansakoulu hinta kertoa ilmestyä koulu kaupunki kirja teos	0.014992967516018	1858
36	mies ampua venäläinen sota joukko tuli vihollinen sotamies turkkilainen upseeri	0.0392465681028	1858
37	pitäjä kylässä kappeli tila pitäjäs kihlakunta lääni tuomiokunta mainita sato	0.025787360375421	1858
38	turku pori kello talo ilmoittaa rauma hinta kaupunki turunen huutokauppa	0.017142027326637	1858
39	pitää voida kysymys lehti tahtoa mies tärkeä lausua elää puolue	0.017152586742527	1858
40	kokous suomi seura pitää vuosi kunta johtokunta senaatti yhdistys lääni	0.002813833957818	1858
41	lehti ilmoitus penni vuosi konttori maksaa toimitus hinta tilata toimittaja	0.019425324888442	1858
42	siemen itää halla kongressi mänty kylvää kuusi tuuma laiho panna	0.003763514450698	1858
43	matti anna maria antti mies todistaja jaakko poika tytär raha	0.018492334927695	1858
44	muosi moida manen seurata sanoa pitää kaupunki kunta aima mies	0.034161086037989	1858
